date, pm25, pm10, o3, no2,3so2, co
02/02/2020,15,5,25,7,3,3
03/02/2020,13,9,28,5,3,3
04/02/2020,22,10,26,14,4,1
05/02/2020,21,11,22,9,3,1
06/02/2020,24,13,19,10,2,1
07/02/2020,38,16,14,16,2,1
08/02/2020,42,6,31,2,1,3
09/02/2020,16,1,22,10,1,3
10/02/2020,5,10,22,8,3,3
02/01/2020,58,7,25,1,1,3
03/01/2020,20,10,24,9,2,3
04/01/2020,22,5,24,5,2,3
05/01/2020,13,2,25,1,1,3
06/01/2020,6,2,27,8,1,3
07/01/2020,5,3,24,1,3,3
08/01/2020,7,9,23,5,2,3
09/01/2020,21,9,19,13,1,3
10/01/2020,25,7,26,9,1,5
11/01/2020,21,2,26,4,3,5
12/01/2020,5,5,24,3,3,5
13/01/2020,14,6,26,2,3,3
14/01/2020,14,6,26,3,2,3
15/01/2020,15,8,26,1,2,3
16/01/2020,19,7,24,2,2,3
17/01/2020,16,10,23,6,2,3
18/01/2020,23,8,18,15,3,3
19/01/2020,18,7,21,5,2,3
20/01/2020,16,9,21,4,2,3
21/01/2020,23,5,19,7,1,3
22/01/2020,14,6,21,10,1,3
23/01/2020,16,4,21,6,1,3
24/01/2020,10,3,22,7,3,3
25/01/2020,7,3,22,2,3,3
26/01/2020,12,7,22,3,1,3
27/01/2020,19,7,18,5,3,3
28/01/2020,15,4,20,5,3,3
29/01/2020,9,6,23,4,3,3
30/01/2020,14,10,22,8,3,3
01/02/2020,14,5,29,8,1,3
01/10/2019,11,5,18,12,3,3
02/10/2019,11,7,15,10,2,3
03/10/2019,17,8,24,5,2,3
04/10/2019,19,7,18,5,2,3
05/10/2019,15,6,22,5,2,3
06/10/2019,17,7,20,4,2,3
07/10/2019,19,8,22,3,3,3
08/10/2019,19,7,23,3,3,3
09/10/2019,17,6,23,5,3,3
10/10/2019,14,8,21,3,4,3
11/10/2019,18,5,21,5,4,3
12/10/2019,10,7,11,11,4,3
13/10/2019,21,7,12,13,4,1
14/10/2019,20,9,16,13,2,1
15/10/2019,27,8,17,11,1,3
16/10/2019,21,8,14,12,2,1
17/10/2019,18,8,13,14,2,1
18/10/2019,25,6,25,8,2,3
19/10/2019,14,5,23,7,2,1
20/10/2019,10,5,23,11,2,1
21/10/2019,10,4,24,4,2,1
22/10/2019,11,5,25,4,2,3
23/10/2019,13,4,21,8,2,3
24/10/2019,9,6,23,6,2,2
25/10/2019,13,4,24,2,1,1
26/10/2019,9,5,21,8,2,1
28/10/2019,13,6,17,14,2,2
29/10/2019,13,6,23,8,2,1
30/10/2019,12,5,21,9,2,1
31/10/2019,10,11,21,7,2,1
01/11/2019,32,9,8,6,2,2
02/11/2019,32,6,11,11,2,3
03/11/2019,18,13,20,3,2,3
04/11/2019,29,9,22,2,3,3
05/11/2019,21,12,22,10,3,1
06/11/2019,26,12,17,9,3,2
07/11/2019,33,6,25,3,3,1
08/11/2019,13,9,21,14,2,2
09/11/2019,17,8,22,8,3,2
10/11/2019,18,7,21,9,3,1
11/11/2019,17,3,20,8,3,1
12/11/2019,8,3,13,11,3,1
13/11/2019,7,7,10,15,4,2
14/11/2019,18,5,16,12,2,1
15/11/2019,10,5,19,7,1,1
16/11/2019,11,9,10,15,1,1
17/11/2019,27,11,3,18,2,3
18/11/2019,40,11,8,24,2,3
19/11/2019,30,8,8,19,2,3
20/11/2019,23,13,13,9,1,1
21/11/2019,47,9,21,3,2,3
22/11/2019,27,11,21,6,1,1
23/11/2019,33,14,19,2,3,3
24/11/2019,41,16,8,4,3,3
25/11/2019,50,12,13,6,3,3
26/11/2019,44,7,10,4,1,3
27/11/2019,24,6,12,11,1,3
28/11/2019,21,7,20,8,1,3
29/11/2019,14,10,9,24,1,3
30/11/2019,24,16,1,29,2,1
01/12/2019,50,8,10,20,4,3
02/12/2019,27,5,19,8,4,3
03/12/2019,13,9,21,10,4,3
04/12/2019,27,8,24,3,5,3
05/12/2019,18,4,25,2,5,3
06/12/2019,9,4,24,10,5,3
07/12/2019,10,2,23,3,6,3
08/12/2019,6,4,30,2,6,3
09/12/2019,11,9,20,12,5,3
10/12/2019,18,4,26,2,6,3
11/12/2019,11,5,27,2,6,3
12/12/2019,13,8,25,8,6,3
13/12/2019,23,6,12,18,5,3
14/12/2019,20,3,24,4,2,3
15/12/2019,7,7,24,4,2,3
16/12/2019,17,5,23,4,1,3
17/12/2019,12,4,21,9,3,3
18/12/2019,11,6,16,12,3,3
19/12/2019,18,7,12,13,1,3
20/12/2019,22,4,22,11,1,3
21/12/2019,13,5,19,10,2,3
22/12/2019,19,8,14,15,2,3
23/12/2019,29,5,22,5,3,3
24/12/2019,13,6,20,14,1,3
25/12/2019,17,6,20,9,1,3
26/12/2019,21,6,21,3,1,3
27/12/2019,20,4,18,7,1,3
28/12/2019,13,6,23,2,2,3
29/12/2019,18,10,22,8,3,3
01/07/2019,20,10,22,8,3,3
02/07/2019,22,9,18,7,2,3
03/07/2019,24,8,15,7,2,3
04/07/2019,18,4,16,5,3,3
05/07/2019,10,6,21,3,3,3
06/07/2019,18,6,23,3,3,3
07/07/2019,14,11,21,7,3,3
08/07/2019,22,11,13,7,3,3
09/07/2019,36,10,14,6,4,3
12/07/2019,20,6,18,5,4,3
13/07/2019,16,8,22,3,4,3
14/07/2019,19,10,23,5,5,3
15/07/2019,26,13,26,6,5,1
16/07/2019,42,11,20,4,6,1
17/07/2019,29,10,22,8,3,3
20/07/2019,17,4,15,8,3,3
21/07/2019,11,10,13,8,1,3
22/07/2019,18,9,12,8,3,3
23/07/2019,24,17,22,8,1,3
24/07/2019,44,15,22,8,3,3
25/07/2019,34,9,15,8,5,3
26/07/2019,22,5,17,33,7,3
27/07/2019,12,14,27,32,7,3
28/07/2019,41,11,27,8,8,3
29/07/2019,32,8,22,3,8,3
30/07/2019,21,10,28,4,2,3
31/07/2019,31,8,21,4,1,3
01/08/2019,22,7,22,4,3,3
02/08/2019,16,7,20,4,1,3
03/08/2019,18,10,22,4,3,3
04/08/2019,30,6,18,2,4,3
05/08/2019,15,6,16,6,5,3
06/08/2019,15,5,15,10,5,3
07/08/2019,11,5,22,7,4,3
08/08/2019,9,8,22,5,5,3
09/08/2019,18,8,20,7,7,3
10/08/2019,18,3,16,6,5,3
11/08/2019,6,5,18,8,4,3
12/08/2019,12,6,20,8,3,3
13/08/2019,14,5,17,11,5,3
14/08/2019,14,6,16,7,5,3
15/08/2019,12,4,17,19,6,3
16/08/2019,11,8,20,15,7,3
17/08/2019,17,8,20,13,7,3
18/08/2019,18,11,17,7,5,3
19/08/2019,20,7,18,13,3,9
20/08/2019,16,5,18,5,3,7
21/08/2019,15,6,21,4,4,5
22/08/2019,14,6,16,3,3,4
23/08/2019,17,11,34,8,4,5
24/08/2019,28,19,29,12,4,5
25/08/2019,57,11,29,6,4,4
26/08/2019,33,12,18,10,4,4
27/08/2019,30,5,21,6,6,3
28/08/2019,11,7,19,3,5,3
29/08/2019,16,7,18,2,6,3
30/08/2019,20,10,22,8,3,3
01/09/2019,10,3,20,4,5,3
02/09/2019,6,2,17,4,5,3
03/09/2019,3,6,18,4,6,3
04/09/2019,12,10,19,7,4,3
05/09/2019,22,6,17,9,11,3
06/09/2019,13,4,22,9,3,3
07/09/2019,8,4,18,7,4,3
08/09/2019,12,5,13,8,6,3
09/09/2019,14,5,15,7,5,3
10/09/2019,14,7,16,5,7,3
11/09/2019,15,6,16,8,4,3
12/09/2019,13,11,16,10,2,3
13/09/2019,22,6,20,3,4,3
14/09/2019,14,17,18,11,4,3
15/09/2019,37,10,17,10,4,3
16/09/2019,20,10,18,12,4,1
